title,url,year
Fun with App Engine 1.5.0 - Mr. Greg Darke,https://www.youtube.com/watch?v=BMiCnYR8YYc,2011
The NCSS Challenge: teaching programming via automated testing - Mr. Tim Dawborn,https://www.youtube.com/watch?v=y-WPPdhTKBU,2011
Web micro-framework battle - Richard Jones,https://www.youtube.com/watch?v=AYjPIMe0BhA,2011
How to maintain big app stacks without losing your mind - Mr. Dylan Jay,https://www.youtube.com/watch?v=XCzk8n9eQ2Q,2011
Panel: Python in the webs,https://www.youtube.com/watch?v=0aBCpu53z9Q,2011
Lightning talks: Saturday,https://www.youtube.com/watch?v=mNy83D7Rhoo,2011
Infinite 8-bit Platformer - Mr. Chris McCormick,https://www.youtube.com/watch?v=qv-BGCFRP4Q,2011
"Sysadmins vs Developers, a take from the other side of the fence - Mr. Benjamin A Smith",https://www.youtube.com/watch?v=tyDiw7Nqu7w,2011
Say What You Mean: Meta-Programming a Declarative API - Dr. Ryan F Kelly,https://www.youtube.com/watch?v=nRDC6GtfB4g,2011
"Teaching Python to the young and impressionable - Georgina Wilcox, Miss Katie M Bell",https://www.youtube.com/watch?v=S56dbRk_jSQ,2011
"Pyramid: Lighter, faster, better web apps - Mr. Dylan Jay",https://www.youtube.com/watch?v=DBV0MsRu72M,2011
Networking Libraries in Python. - Mr. Senthil Kumaran,https://www.youtube.com/watch?v=xnoW4twC4xo,2011
"Ah! I see you have the machine that goes ""BING""! - Dr. Graeme Cross",https://www.youtube.com/watch?v=nzCvomTixzU,2011
Benchmarking stuff made ridiculously easy (with lots of pictures) - Mr. Tennessee J Leeuwenburg,https://www.youtube.com/watch?v=N2_DvRBokS0,2011
A Python on the Couch - Mr. Mark J Rees,https://www.youtube.com/watch?v=RNXjflpOs88,2011
Zookeepr: Home-grown conference management software - Ms. Brianna Laugher,https://www.youtube.com/watch?v=AwT6dEn3FMI,2011
How Python Evolves (and How You Can Help Make It Happen) - Mr. Nick Coghlan,https://www.youtube.com/watch?v=UZIq_9KgFEY,2011
Pants - Network Programming Made Easy - Mr. Christopher Davis,https://www.youtube.com/watch?v=ZCW41URyqAQ,2011
State of CPython and Python Ecosystem - Mr. Senthil Kumaran,https://www.youtube.com/watch?v=hx_rCN8pcfk,2011
"Bytecode: What, Why, and How to Hack it - Dr. Ryan F Kelly",https://www.youtube.com/watch?v=ve7lLHtJ9l8,2011
Developing Scientific Software in Python - Mr. Duncan S Gray,https://www.youtube.com/watch?v=qIVEkecxVqo,2011
Hosting Python Web Applications - Mr. Graham P Dumpleton,https://www.youtube.com/watch?v=PWIvm-uloMg,2011
Weather field warping using Python. - Dr. Nathan Faggian,https://www.youtube.com/watch?v=LRQJvXtpU90,2011
Behaviour Driven Development - Mr. Malcolm Tredinnick,https://www.youtube.com/watch?v=XXHknWKuG2U,2011
Keynote: Audrey Roy,https://www.youtube.com/watch?v=76YfICi8LcA,2011
Interfaces and Python,https://www.youtube.com/watch?v=4-TwdBuTR1A,2012
Deep Freeze: building better stand-alone apps with Python,https://www.youtube.com/watch?v=vP6j7VDpPrI,2012
The Art of Subclassing,https://www.youtube.com/watch?v=miGolgp9xq8,2012
Testing and Django,https://www.youtube.com/watch?v=ickNQcNXiS4,2012
A Gentle Introduction to GIS,https://www.youtube.com/watch?v=LddeJ06JoXE,2012
